gra_year;title;distributor;producer;gra_winner
1995;Waterworld;Universal Studios;Kevin Costner, John Davis, Charles Gordon, Lawrence Gordon;
1996;Striptease;Columbia Pictures, Castle Rock;Andrew Bergman, Mike Lobell;WINNER
1996;Barb Wire;PolyGram, Gramercy Pictures;Todd Moyer, Mike Richardson, Brad Wyman;
1996;Ed;Universal Studios;Rosalie Swedlin;
1996;The Island of Dr. Moreau;New Line Cinema;Edward R. Pressman;
1996;The Stupids;New Line Cinema, Savoy Pictures;Leslie Belzberg;
1997;The Postman;Warner Bros.;Kevin Costner, Steve Tisch, Jim Wilson;WINNER
1997;Anaconda;Columbia Pictures;Verna Harrah, Carole Little, Leonard Rabinowitz;
1997;Batman & Robin;Warner Bros.;Peter MacGregor-Scott;
1997;Fire Down Below;;Julius R. Nasso, Steven Seagal;
1997;Speed 2: Cruise Control;20th Century Fox;Jan de Bont, Steve Perry, Michael Peyser;
1998;An Alan Smithee Film: Burn Hollywood Burn;Hollywood Pictures;Ben Myron, Joe Eszterhas;WINNER
1998;Armageddon;Touchstone Pictures;Michael Bay, Jerry Bruckheimer;
1998;The Avengers;Warner Bros.;Jerry Weintraub;
1998;Godzilla;TriStar Pictures;Roland Emmerich and Dean Devlin;
1998;Spice World;Columbia Pictures;Uri Fruchtmann, Mark L. Rosen, Barnaby Thompson;
1999;Wild Wild West;Warner Bros.;Jon Peters, Barry Sonnenfeld;WINNER
1999;Big Daddy;Columbia Pictures;Sid Ganis, Jack Giarraputo;
1999;The Blair Witch Project;Artisan Entertainment;Robin Cowie, Gregg Hale;
1999;The Haunting;DreamWorks;Susan Arthur, Donna Roth, Colin Wilson;
1999;Star Wars: Episode I – The Phantom Menace;20th Century Fox;Rick McCallum, George Lucas;
2000;Battlefield Earth;Warner Bros., Franchise Pictures;Jonathan D. Krane, Elie Samaha, John Travolta;WINNER
2000;Book of Shadows: Blair Witch 2;Artisan Entertainment;Bill Carraro;
2000;The Flintstones in Viva Rock Vegas;Universal Studios;Bruce Cohen;
2000;Little Nicky;New Line Cinema;Jack Giarraputo, Robert Simonds;
2000;The Next Best Thing;Paramount Pictures;Leslie Dixon, Linne Radmin, Tom Rosenberg;
2001;Freddy Got Fingered;20th Century Fox;Larry Brezner, Howard Lapides, Lauren Lloyd;WINNER
2001;Driven;Warner Bros., Franchise Pictures;Renny Harlin, Elie Samaha, Sylvester Stallone;
2001;Glitter;20th Century Fox, Columbia Pictures;Laurence Mark, E. Bennett Walsh;
2001;Pearl Harbor;Touchstone Pictures;Michael Bay, Jerry Bruckheimer;
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Demian Lichtenstein, Eric Manes, Elie Samaha, Richard Spero, Andrew Stevens;
2002;Swept Away;Screen Gems;Matthew Vaughn;WINNER
